
Sync-Point 0, Time: 0.015625, Redshift: 63, Systemstep: 0, Dloga: 0, Nsync-grv:    2097152, Nsync-hyd:          0
Sync-Point 154, Time: 0.0292047, Redshift: 33.2411, Systemstep: 0.000118372, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 155, Time: 0.0293235, Redshift: 33.1023, Systemstep: 0.000118853, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 156, Time: 0.0294429, Redshift: 32.9641, Systemstep: 0.000119337, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 157, Time: 0.0295627, Redshift: 32.8264, Systemstep: 0.000119823, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 158, Time: 0.029683, Redshift: 32.6893, Systemstep: 0.00012031, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 159, Time: 0.0298038, Redshift: 32.5528, Systemstep: 0.0001208, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 160, Time: 0.0299251, Redshift: 32.4168, Systemstep: 0.000121292, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 161, Time: 0.0300469, Redshift: 32.2813, Systemstep: 0.000121785, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 162, Time: 0.0301692, Redshift: 32.1464, Systemstep: 0.000122281, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 163, Time: 0.0302919, Redshift: 32.0121, Systemstep: 0.000122778, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 164, Time: 0.0304152, Redshift: 31.8783, Systemstep: 0.000123278, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 165, Time: 0.030539, Redshift: 31.745, Systemstep: 0.00012378, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 166, Time: 0.0306633, Redshift: 31.6123, Systemstep: 0.000124284, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

