Image,Energy,Entropy,InverseDifference,Correlation,InfoMeasureCorrelation1,InfoMeasureCorrelation2,Contrast,DifferenceEntropy,DifferenceVariance,SumAverage,SumEntropy,SumVariance
12453.png,0.00101338,8.05785,0.215195,6.95068e+08,-0.400348,0.990421,230.908,2.80857,199.773,183.643,5.71073,39421.6
08871.png,0.000805448,8.28339,0.196548,8.86751e+08,-0.407617,0.99218,469.471,2.93188,426.092,155.524,5.87895,35679.5
14933.png,0.00085233,8.15613,0.238785,1.48637e+09,-0.453566,0.995461,207.219,2.70046,180.03,180.253,5.94735,46291.1
13934.png,0.21673,4.22286,0.697464,5.19944e+07,-0.621126,0.988341,176.257,1.56386,167.153,380.543,3.35945,175567
16985.png,0.000331655,8.6497,0.128616,1.53615e+09,-0.342827,0.984783,358.332,3.18447,306.859,221.089,5.88436,56930.8
04465.png,0.000667809,8.55609,0.159378,1.69163e+09,-0.353708,0.986219,301.274,3.20632,251.012,234.552,5.8372,64776.9
03484.png,0.000670911,8.36037,0.218216,4.50096e+09,-0.448724,0.995683,183.416,2.78223,154.468,228.305,6.05545,73296.9
03943.png,0.0318952,7.22358,0.345657,8.1964e+07,-0.496883,0.995454,160.281,2.4932,139.743,155.984,5.39167,43202.5
02001.png,0.000141841,9.32549,0.0519867,1.4912e+09,-0.226539,0.948662,842.586,3.84172,721.305,189.737,5.90736,43646.9
00972.png,0.0203685,7.57305,0.300491,3.16314e+08,-0.44838,0.993211,258.131,2.7873,225.912,288.081,5.47841,108415
19679.png,0.000326138,8.81264,0.109253,2.46101e+09,-0.324665,0.982025,582.905,3.45365,504.813,230.62,5.93153,76113.4
05221.png,0.000780021,8.78767,0.154495,3.17257e+09,-0.347003,0.986357,420.875,3.34599,356.849,249.032,5.97057,73462.4
10722.png,0.00153307,7.85473,0.315216,8.332e+08,-0.465476,0.995388,207.02,2.61156,181.63,187.317,5.77594,42022.9
00223.png,0.000463362,8.39153,0.160477,1.25303e+09,-0.372196,0.9883,144.616,2.90119,114.333,201.401,5.83068,46581
13358.png,0.000426903,8.83369,0.120056,1.11235e+09,-0.312011,0.979106,738.403,3.50623,651.311,183.697,5.90925,44125.9
05413.png,0.00257535,7.60256,0.276794,6.94554e+08,-0.471917,0.995084,99.0409,2.47865,82.951,227.479,5.61362,61052.7
15906.png,0.000469006,8.69503,0.150711,3.49146e+09,-0.372696,0.989841,473.695,3.18066,418.637,244.207,6.0217,72352.2
