Image,Energy,Entropy,InverseDifference,Correlation,InfoMeasureCorrelation1,InfoMeasureCorrelation2,Contrast,DifferenceEntropy,DifferenceVariance,SumAverage,SumEntropy,SumVariance
02686.png,0.00389236,8.52188,0.174561,1.33096e+09,-0.391237,0.991365,385.905,3.17829,332.9,277.297,5.94982,96800.1
07035.png,0.000531263,8.43366,0.16394,1.9357e+09,-0.414828,0.993408,361.053,2.91342,320.705,190.503,5.99994,54952.5
18640.png,0.000570243,8.41898,0.131943,1.57299e+09,-0.391784,0.991015,166.937,2.874,136.82,196.959,5.91589,50933.1
01390.png,0.000860525,7.95545,0.238358,1.7032e+09,-0.47596,0.996244,180.111,2.49101,159.542,195.098,5.89992,51179.9
08956.png,0.0013975,8.38457,0.202927,1.63481e+09,-0.425391,0.994136,463.388,2.97058,415.883,202.311,6.0117,63753.2
10152.png,0.000798712,8.27414,0.199905,2.31708e+09,-0.45595,0.995896,218.044,2.69835,190.834,185.709,6.04018,55182.8
13536.png,0.000670946,8.20966,0.155914,1.00231e+09,-0.379265,0.988383,122.581,2.79984,96.7137,198.665,5.74078,44562.5
12434.png,0.00123297,7.78816,0.314728,1.85106e+09,-0.535312,0.998171,160.11,2.28119,143.722,183.71,5.99244,51150
15125.png,0.0010611,8.4645,0.140961,9.36054e+08,-0.329536,0.980735,219.366,3.144,174.651,207.779,5.72407,51282.2
15452.png,0.000279986,8.92998,0.110062,2.25492e+09,-0.314599,0.980504,503.041,3.40659,432.513,189.056,5.97449,47179.7
08393.png,0.00213285,7.49195,0.319427,5.19654e+08,-0.479755,0.995246,127.572,2.38045,110.032,190.602,5.59328,44393.8
08145.png,0.00226605,7.24459,0.226212,1.00897e+08,-0.430956,0.990045,79.7193,2.3301,66.5614,99.2195,5.29607,14512.2
09936.png,0.00124011,7.95211,0.216599,4.51071e+08,-0.425897,0.99268,144.169,2.68351,119.554,136.369,5.73305,28300
05299.png,0.000933955,7.9875,0.212708,1.7534e+09,-0.471897,0.996092,253.565,2.5312,230.663,251.577,5.89988,74366.7
08204.png,0.000684553,8.12572,0.1698,1.58213e+09,-0.442721,0.994661,213.89,2.62552,188.696,209.953,5.89718,53594.7
04024.png,0.000314853,8.74004,0.129868,4.69727e+09,-0.380478,0.991012,176.521,3.02165,140.093,229.696,6.07904,65743.8
05217.png,0.00137436,7.79375,0.278381,7.25114e+08,-0.481217,0.996122,203.302,2.53389,179.942,158.605,5.80272,38790.4
03055.png,0.000839957,7.90324,0.25946,2.22765e+09,-0.509202,0.997547,153.507,2.40818,135.956,204.396,5.97654,58334.7
